numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1             ,2892   ,16088  ,-1792  ,-25    ,-19     ,-9
2             ,2964   ,15928  ,-1952  ,173    ,109     ,52
3             ,3008   ,16008  ,-1696  ,-55    ,-7     ,-34
4             ,2956   ,16028  ,-1960  ,185    ,145     ,16
5             ,2920   ,16040  ,-1944  ,75    ,0     ,-52
6             ,3048   ,15968  ,-1924  ,234    ,145     ,-1
7             ,2952   ,16024  ,-1976  ,82    ,18     ,-64
8             ,3020   ,15948  ,-1968  ,264    ,131     ,11
9             ,3024   ,15964  ,-1956  ,250    ,113     ,29
10             ,2956   ,15996  ,-1856  ,-52    ,2     ,-18
11             ,3000   ,15932  ,-1940  ,188    ,111     ,-9
12             ,3028   ,16032  ,-1908  ,66    ,36     ,-76
13             ,3052   ,16024  ,-2000  ,328    ,131     ,15
14             ,3020   ,15984  ,-1888  ,77    ,33     ,-76
15             ,3016   ,16032  ,-1908  ,196    ,114     ,93
16             ,3036   ,15984  ,-1852  ,-14    ,19     ,-48
17             ,2968   ,16036  ,-1936  ,201    ,100     ,24
18             ,2968   ,16100  ,-1988  ,171    ,37     ,122
19             ,3044   ,15952  ,-1808  ,264    ,64     ,-61
20             ,3028   ,15972  ,-1940  ,337    ,116     ,29
21             ,2988   ,16016  ,-1920  ,-160    ,-23     ,-24
22             ,2892   ,16028  ,-1852  ,166    ,84     ,78
23             ,3012   ,15952  ,-1848  ,-72    ,17     ,-13
24             ,2908   ,16044  ,-1920  ,8    ,55     ,61
25             ,2996   ,15972  ,-2012  ,82    ,60     ,-5
26             ,2936   ,16036  ,-1992  ,21    ,55     ,-43
27             ,2976   ,16048  ,-1940  ,312    ,116     ,34
28             ,2988   ,16000  ,-1800  ,78    ,-32     ,-20
29             ,2964   ,16048  ,-1876  ,237    ,113     ,40
30             ,3020   ,15968  ,-1984  ,56    ,50     ,-59
31             ,2960   ,16032  ,-1932  ,188    ,78     ,8
32             ,2992   ,15916  ,-1992  ,58    ,72     ,-39
33             ,3000   ,15936  ,-1816  ,126    ,73     ,46
34             ,2984   ,15988  ,-1964  ,17    ,30     ,34
35             ,2956   ,16032  ,-1956  ,-98    ,26     ,-29
36             ,2972   ,16016  ,-2012  ,301    ,148     ,-5
37             ,2972   ,15976  ,-1892  ,123    ,68     ,-47
38             ,2960   ,16092  ,-1800  ,55    ,51     ,26
39             ,2996   ,15984  ,-1868  ,-204    ,7     ,22
40             ,2884   ,16048  ,-1896  ,27    ,33     ,20
41             ,3036   ,15616  ,-2132  ,186    ,132     ,9
42             ,2980   ,16068  ,-1792  ,94    ,13     ,42
43             ,3020   ,15976  ,-1844  ,172    ,89     ,52
44             ,3016   ,15896  ,-2068  ,312    ,94     ,-78
45             ,3012   ,15972  ,-1884  ,537    ,113     ,-80
46             ,3000   ,15900  ,-1788  ,304    ,105     ,-56
47             ,2932   ,15920  ,-1804  ,-146    ,4     ,19
48             ,3000   ,15988  ,-2044  ,-107    ,13     ,50
49             ,2864   ,16064  ,-1904  ,-6    ,41     ,25
50             ,3020   ,16000  ,-2032  ,214    ,120     ,-9
51             ,2992   ,16064  ,-1880  ,372    ,85     ,-40
52             ,2920   ,16016  ,-1860  ,197    ,69     ,-12
53             ,3032   ,15924  ,-1832  ,-1    ,36     ,7
54             ,2968   ,16020  ,-1900  ,-177    ,-11     ,39
55             ,3000   ,16008  ,-2096  ,146    ,141     ,8
56             ,2952   ,16072  ,-1896  ,245    ,95     ,-12
57             ,3020   ,15964  ,-1936  ,289    ,136     ,-36
58             ,2976   ,16052  ,-1924  ,-47    ,24     ,-56
59             ,2968   ,15924  ,-1896  ,57    ,72     ,35
60             ,2940   ,16004  ,-1900  ,31    ,56     ,-47
61             ,2936   ,15968  ,-2012  ,-10    ,27     ,-30
62             ,2960   ,16012  ,-2280  ,100    ,167     ,136
63             ,2840   ,16064  ,-1840  ,30    ,36     ,43
64             ,3092   ,15976  ,-2000  ,240    ,103     ,17
65             ,2908   ,16008  ,-1840  ,71    ,-8     ,-20
